depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
55.948,2.25462028342995e-06,5.24518733850505e-06,2.86816006959548e-07
56.094,2.02599870706404e-06,5.02421189969968e-06,9.33925619834711e-07
56.24,2.56739117878826e-06,5.783286611832e-06,4.46439756415833e-07
56.386,3.02865585423939e-06,6.51322894173629e-06,4.03366681165724e-07
56.532,2.58232260951084e-06,5.91591347279177e-06,9.25817746846455e-07
56.678,2.68401406234337e-06,5.95952312020037e-06,3.86137451065681e-07
56.824,2.31863150551839e-06,5.33551093289916e-06,2.07764245324054e-07
56.969,2.2659796387426e-06,5.30412823945086e-06,4.41372335798173e-07
57.114,2.12774250563381e-06,5.1199212826453e-06,6.0454327968682e-07
57.259,1.84041515933281e-06,4.76805096569298e-06,1.0874684645498e-06
57.404,1.53222606985196e-06,4.25095616796376e-06,9.79532405393649e-07
57.548,1.97331598640221e-06,4.86669900122022e-06,5.67044367116137e-07
57.692,2.22073979447438e-06,5.34197832630607e-06,9.16189647672901e-07
57.836,2.72909853124043e-06,6.05430095232674e-06,4.52013919095259e-07
57.98,2.76470274880904e-06,6.06761427735046e-06,2.51344062635929e-07
58.124,2.67449663319811e-06,5.99685845666925e-06,5.78192692474989e-07
58.268,2.70828344518325e-06,6.03370390512982e-06,4.96100478468899e-07
58.412,1.99053561771732e-06,4.90266652326858e-06,5.81739886907351e-07
58.556,1.99345044503131e-06,4.86409859961379e-06,3.84110482818617e-07
58.7,2.59300540362171e-06,5.85025012842183e-06,4.89512831665942e-07
58.843,2.57074283228163e-06,5.85721345659754e-06,6.7650065245759e-07
58.986,2.45297779918346e-06,5.59761891334238e-06,3.55732927359722e-07
59.129,2.44592384962103e-06,5.62466193284183e-06,5.23464549804263e-07
59.272,2.18953367950991e-06,5.287521741353e-06,8.52340147890387e-07
59.415,2.14589336761815e-06,5.17537259426012e-06,6.59778164419313e-07
59.59,1.96726452476606e-06,4.95802922185366e-06,9.65850369725968e-07
59.72,2.27787848841035e-06,5.40690545104325e-06,7.39336668116572e-07
59.843,2.15749432778071e-06,5.14241158879027e-06,4.17048716833406e-07
59.985,2.12930077599136e-06,5.13874897611431e-06,5.9947585906916e-07
60.127,2.01942999571463e-06,5.02632315629937e-06,8.8223792953458e-07
60.269,2.33119023785381e-06,5.47346963345196e-06,6.38494997825141e-07
60.411,1.96578086233677e-06,4.84640392700237e-06,4.55054371465855e-07
60.552,1.82478676164066e-06,4.5685161701712e-06,2.21446280991736e-07
60.693,2.24409002213674e-06,5.32048001338354e-06,5.68057851239669e-07
60.834,2.03600036286954e-06,5.04394403720343e-06,8.2294910830796e-07
60.975,2.08110923814004e-06,5.0491002912176e-06,5.17890387124837e-07
61.116,1.8481404467486e-06,4.7622749912399e-06,9.06054806437582e-07
61.398,2.4937840374239e-06,5.6988825790575e-06,4.45426272292301e-07
61.539,2.01502563570339e-06,4.92834451149947e-06,4.37825141365811e-07
61.82,4.76942396820134e-06,9.35847874091553e-06,4.32757720748151e-07
61.96,2.12733065906536e-06,5.12937987398278e-06,5.17890387124837e-07
62.1,1.97677947494207e-06,4.92513342965454e-06,6.83595041322314e-07
62.24,2.41141589924317e-06,5.56009962388499e-06,3.92725097868639e-07
62.38,2.21355647780011e-06,5.27010239361727e-06,5.15356676816007e-07
62.66,2.00782839571739e-06,4.95766572189091e-06,5.90861244019139e-07
62.8,1.90835870703668e-06,4.72309331750836e-06,2.54384515006525e-07
62.939,1.98634556864259e-06,4.90909391590219e-06,5.20930839495433e-07
63.078,1.7152655451875e-06,4.39967241062924e-06,1.91041757285776e-07
63.217,1.66027584858324e-06,4.36545920466757e-06,4.30224010439321e-07
63.356,1.81551993182168e-06,4.68733929423927e-06,7.47951283166594e-07
63.495,1.79045538664888e-06,4.70349552796932e-06,9.96761635493693e-07
63.634,1.91345309368375e-06,4.78117222536828e-06,4.55561113527621e-07
63.773,1.75087501898746e-06,4.60218133071611e-06,8.21935624184428e-07
63.912,1.56011035293339e-06,4.33222201264463e-06,9.85106568073075e-07
64.051,2.33805722374704e-06,5.51694105844738e-06,6.75487168334058e-07
64.189,1.71970693226336e-06,4.44338847732202e-06,3.2684862983906e-07
64.465,1.90880449689602e-06,4.90866847063845e-06,1.03628751631144e-06
64.603,2.20788319751517e-06,5.27909137014244e-06,5.34612875163114e-07
64.741,2.3114104337166e-06,5.57905422745028e-06,1.12446063505872e-06
64.878,2.18229306835264e-06,5.20035372844629e-06,3.59786863853849e-07
65.015,1.85109432832511e-06,4.70492008150289e-06,5.28025228360157e-07
65.152,2.34554048617757e-06,5.48823067593387e-06,4.62148760330578e-07
65.292,2.71981714927264e-06,6.18623934267839e-06,8.79197477163984e-07
65.426,2.33161340507966e-06,5.5125259031678e-06,6.62818616789909e-07
65.563,2.39455305854802e-06,5.58560216636708e-06,5.32079164854284e-07
65.7,2.05174838622201e-06,4.96038041998671e-06,2.06244019138756e-07
65.837,1.69768448031207e-06,4.42008502507112e-06,3.40530665506742e-07
65.973,1.90311523845926e-06,4.76084026986704e-06,3.78536320139191e-07
66.109,1.88048031082053e-06,4.74545808936467e-06,4.69243149195302e-07
66.245,1.76820967698187e-06,4.62305056874806e-06,7.27681600695955e-07
66.381,1.98895501938659e-06,4.88993600748452e-06,3.25835145715529e-07
66.517,1.95122313068238e-06,4.85883679553017e-06,4.55054371465855e-07
66.653,1.67697495793468e-06,4.45817516078207e-06,6.39001739886907e-07
66.789,1.96082992951906e-06,4.95240402249539e-06,7.95585036972597e-07
66.925,1.98437799029217e-06,4.88189573573819e-06,3.08605915615485e-07
67.06,1.85166144280651e-06,4.73720622628583e-06,6.15184862983906e-07
67.195,2.07422237687284e-06,5.21717893788637e-06,1.14827751196172e-06
67.33,2.37605486160371e-06,5.60233513107235e-06,6.88662461939974e-07
67.465,2.57138734339783e-06,5.92377721537651e-06,7.10959112657677e-07
67.6,2.77880630656281e-06,6.25798608339192e-06,7.02851239669421e-07
67.735,2.72332712152104e-06,6.16507485439574e-06,6.8410178338408e-07
67.87,1.78422282383837e-06,4.60581936712492e-06,4.94580252283602e-07
68.005,1.95469223015481e-06,4.88471790248084e-06,5.06235319704219e-07
68.14,2.15481055185609e-06,5.29405469403211e-06,8.8477163984341e-07
68.274,2.45522048111841e-06,5.71285935819994e-06,5.83766855154415e-07
68.408,2.92613303263475e-06,6.4992204331968e-06,6.91196172248804e-07
68.542,2.24600693351701e-06,5.36131052602924e-06,5.16876903001305e-07
