depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
762.603,1.19553704072909e-06,3.6596984356031e-05,3.73142059462591e-06
762.803,1.1311074777809e-06,3.57664178300369e-05,2.92499636355291e-06
763.003,9.77006052286226e-07,3.53737661920976e-05,3.4717246558058e-06
763.203,1.40231217420574e-06,3.66996235971074e-05,2.24158599823681e-06
763.403,1.553554821899e-06,3.78336665354955e-05,2.80198249779602e-06
763.566,1.55186950755074e-06,3.81690980765089e-05,3.30770616812993e-06
763.726,1.51816171881042e-06,3.84970296804075e-05,4.04578936267132e-06
763.926,1.52221504990354e-06,3.78188839591148e-05,2.95233277816556e-06
764.096,1.59132006371218e-06,3.77743873902759e-05,2.33726344938107e-06
764.336,1.57074142578147e-06,3.82279437763958e-05,3.15735588776039e-06
764.507,1.43102234222941e-06,3.85942103245003e-05,4.75881470204437e-06
764.707,1.39995169190649e-06,3.84782986983241e-05,4.79276642018269e-06
764.907,1.29214567164102e-06,3.78894968625451e-05,4.68787081339713e-06
765.107,1.33667323977367e-06,3.7957461950925e-05,4.42791213571118e-06
765.257,1.24964067752651e-06,3.79157970684716e-05,5.00762505437147e-06
765.448,1.02113096237752e-06,3.55909716124463e-05,3.17102409506671e-06
765.568,1.50908510461232e-06,3.82012479720971e-05,3.43072003388683e-06
765.778,9.62000005614472e-07,3.59402657816673e-05,4.11413039920293e-06
765.978,0,3.10549262159328e-05,3.95030039770964e-06
766.168,0,3.1573131560168e-05,4.72033396327532e-06
766.378,1.03899757388922e-06,3.66505651571921e-05,4.54091561548499e-06
766.618,1.59974826430904e-07,3.23339998058368e-05,4.61427805827434e-06
766.828,2.08521863752975e-08,3.12476617957498e-05,3.99204580712493e-06
767.078,8.96506462207408e-07,3.62070303651243e-05,4.86588180105064e-06
767.373,1.20958977563274e-06,3.73259729900855e-05,4.1551350211219e-06
767.533,1.25668392507405e-06,3.78245486743546e-05,4.53784482569891e-06
767.643,1.36979830984992e-06,3.79584682745786e-05,3.86810266768913e-06
767.813,1.1430550461321e-06,3.75433176120324e-05,4.94022836015659e-06
768.027,1.53195467858401e-06,3.94474342405825e-05,4.85712266202697e-06
768.227,0,3.14697685541268e-05,4.33475305333822e-06
768.427,0,3.13552437493655e-05,4.13815474007841e-06
768.587,1.68279123141448e-06,3.96594584149917e-05,3.96378011883339e-06
768.807,1.12593921458112e-06,3.70741167770578e-05,4.23714426495983e-06
769.045,0,3.1115732444706e-05,3.70518714918343e-06
769.245,1.19831794523735e-06,3.75240281585267e-05,4.31915350879776e-06
769.425,4.87366530093149e-07,3.36332130209995e-05,3.7860934238512e-06
769.575,4.62192515304655e-07,3.35095719768486e-05,3.77242521654488e-06
769.805,9.01250430307032e-07,3.60911577583661e-05,4.33282171610408e-06
770,9.85553279905132e-07,3.68429780399962e-05,4.8120226185298e-06
770.21,1.12145058466227e-06,3.69665867113733e-05,3.94093301435407e-06
770.36,1.20168580428977e-06,3.74701407650604e-05,4.07826011309265e-06
770.55,9.47464826275077e-07,3.63252671675471e-05,4.24953892996955e-06
770.75,9.25102818464652e-07,3.62154861989082e-05,4.22926924749891e-06
771.004,7.84407444127512e-07,3.47803486319938e-05,3.08901485122878e-06
771.194,2.14900286038783e-06,4.23398975674245e-05,4.16880322842822e-06
771.464,1.397292289955e-06,3.87130631645263e-05,4.34581992170509e-06
771.664,6.68110918369242e-07,3.50499859029048e-05,4.30730752501087e-06
771.854,6.82714747025166e-07,3.53045328409903e-05,4.56067855589387e-06
772.021,4.09908847228118e-07,3.36201895827489e-05,4.06002312921332e-06
772.191,2.85279082655039e-07,3.29687648145465e-05,4.0002256508617e-06
772.471,1.22068715225562e-06,3.77614067339638e-05,4.12336015658982e-06
772.651,4.51240016590796e-08,3.21806963931216e-05,4.58014836544157e-06
772.791,2.66236876073911e-06,4.52190531144092e-05,4.42791213571118e-06
772.926,8.25097527153433e-07,3.58979912687428e-05,4.25257938234015e-06
773.126,4.17484005643369e-07,3.45058618146811e-05,5.21986855837306e-06
773.286,5.81463655973059e-07,3.50409568481989e-05,4.76489560678556e-06
773.556,8.69099980738226e-07,3.61686095534046e-05,4.25409960852545e-06
773.804,6.5924178247415e-07,3.5901345604203e-05,5.41707264027838e-06
773.954,1.15657390721351e-06,3.79196095954127e-05,4.67317529360592e-06
774.174,0,3.19198139292813e-05,4.35703607593151e-06
774.404,0,3.23176465700076e-05,4.93300990043156e-06
774.564,0,3.21065594575269e-05,4.59453360787521e-06
774.715,7.32855713052657e-07,3.56633871023596e-05,4.3858525445846e-06
774.945,0,3.20496723671471e-05,4.46393817166389e-06
775.155,9.60434534152539e-07,3.72781881252695e-05,5.04461722488038e-06
775.365,1.15182105043209e-06,3.76362241077822e-05,4.10359721618095e-06
775.515,1.21025054997919e-06,3.83663795605736e-05,4.74513266637669e-06
775.651,8.74635001127409e-07,3.662754928725e-05,4.65138538494998e-06
775.881,5.76361932257999e-07,3.5233696503265e-05,4.78465854719443e-06
776.051,7.14950332374646e-07,3.61849418334968e-05,5.14799260548064e-06
776.211,2.90494434584204e-07,3.41699572975421e-05,5.31182128451753e-06
776.401,7.27327536400811e-07,3.59122995680057e-05,4.59848249795504e-06
776.563,4.24355099733456e-07,3.47336297433453e-05,5.10289256198347e-06
776.763,0,3.21459096453067e-05,4.39737116746115e-06
776.963,9.75085964101914e-07,3.69701916884828e-05,4.24244454110483e-06
777.163,1.13620651022372e-07,3.3015786443309e-05,4.80015795560319e-06
777.323,9.85003479640643e-07,3.77312650407093e-05,5.27214441061331e-06
777.514,9.7742492797112e-07,3.71825719573998e-05,4.47706611570248e-06
777.714,0,3.20119880437532e-05,4.0839985332694e-06
777.914,0,3.19157374514939e-05,3.91532451414549e-06
778.141,1.33721667514186e-06,3.89697186316981e-05,4.35798173118747e-06
778.341,1.07689581145155e-06,3.77121806629229e-05,4.41625706829056e-06
778.541,1.52208164079962e-07,3.36011242800956e-05,5.22692014780131e-06
778.771,0,3.35380797506624e-05,6.26322173017798e-06
778.991,2.83048612677347e-07,3.40202539556279e-05,4.80946605364849e-06
779.17,1.11783920508865e-06,3.85877914738856e-05,5.32129839060461e-06
779.431,0,3.2915388923969e-05,5.24581840746904e-06
779.721,2.19886973321772e-06,4.35138183094621e-05,4.44666159199652e-06
779.911,2.11652232668055e-06,4.30145294080686e-05,4.29565245759026e-06
780.081,6.87352839383e-08,3.26528521996532e-05,4.25013398019914e-06
780.261,0,3.27978888814774e-05,4.97080641976702e-06
780.441,8.51841299403356e-07,3.69962633038852e-05,4.78820574162679e-06
780.747,1.19785733341397e-06,3.87961631224491e-05,4.82621139625924e-06
780.977,1.17961809958634e-06,3.81477965138253e-05,3.95968247063941e-06
781.247,1.27924150801967e-06,3.95412080811391e-05,5.26454327968682e-06
781.367,1.44215988753498e-06,3.99749682527863e-05,4.6615202261853e-06
781.507,1.33801934496672e-06,3.95866328855448e-05,4.85205524140931e-06
781.722,2.41767971295159e-07,3.39650710258906e-05,4.7137146585472e-06
781.922,2.76970119422662e-07,3.43414188772626e-05,4.98786211396259e-06
782.122,2.88512676970089e-07,3.42382210736002e-05,4.72131578947368e-06
782.337,9.21325404313735e-07,3.75127363331757e-05,4.80188777729448e-06
782.507,1.11434357625679e-06,3.86875517376218e-05,5.07806220095694e-06
782.707,1.39037310304715e-06,4.00318711577311e-05,4.97265985210961e-06
783.407,7.07800586127032e-07,3.6866830331765e-05,5.32930922629961e-06
783.607,1.21018210193211e-06,3.9153831271535e-05,4.91489125706829e-06
783.807,1.31239354221852e-06,4.00677083005754e-05,5.48446933449326e-06
784.057,9.49954561527213e-07,3.86684412593966e-05,6.11282949108308e-06
784.257,9.28994858570045e-07,3.81607088684215e-05,5.48598956067856e-06
784.415,4.49609859300837e-07,3.60418880623842e-05,5.93749673771205e-06
784.635,1.02563043712245e-06,3.82969271914002e-05,4.9088103523271e-06
784.875,1.35339895933934e-06,3.9844648234374e-05,4.70560678555894e-06
785.075,1.36656178528196e-06,3.93410995810035e-05,3.82539582427142e-06
785.225,8.93396587364651e-07,3.77855900824268e-05,5.07755545889517e-06
785.393,1.14390365921677e-06,3.94352616302242e-05,5.62331665941714e-06
785.603,5.88639932166541e-07,3.66602623373544e-05,5.66588299260548e-06
785.773,5.88639932166541e-07,3.66737205253795e-05,5.66588299260548e-06
786.003,0,3.38506581402903e-05,5.89065494429346e-06
786.243,0,3.39860833137526e-05,6.06605928976391e-06
786.433,9.60818013452658e-07,3.77166343423397e-05,4.31541539799913e-06
786.633,4.84146907882925e-07,3.50559572422959e-05,3.93644370422074e-06
786.883,0,3.34217003398611e-05,5.14737821905057e-06
787.063,1.15024628094536e-06,3.86722744730186e-05,4.22774902131362e-06
787.213,6.98504252297396e-07,3.68216024377491e-05,4.87955000835697e-06
787.389,5.33594637128901e-07,3.61846136920968e-05,5.16116789908656e-06
787.589,1.72868744532566e-07,3.36536304340795e-05,4.09725552139452e-06
787.749,1.05602051890651e-06,3.87100165849459e-05,4.91843845150065e-06
787.979,1.26248473897239e-06,4.00034433446645e-05,5.2528882122662e-06
788.139,3.03401409801593e-08,3.38040142913906e-05,5.34482272304177e-06
788.279,9.93269518896273e-07,3.8601963908693e-05,5.17028925619835e-06
788.479,1.06103604407953e-06,3.86204571194732e-05,4.65746628969117e-06
788.679,7.86720387213634e-07,3.76638729632251e-05,5.29241409308395e-06
788.879,1.0642977906017e-06,3.92571059347612e-05,5.53565028273162e-06
789.079,7.976521574744e-07,3.78188961764311e-05,5.39274902131361e-06
789.294,1.50688709544413e-06,4.13739900058228e-05,5.2767050891692e-06
789.514,7.80064403859424e-07,3.76672808655509e-05,5.24782079164854e-06
789.774,4.49643192062951e-07,3.58716139595016e-05,5.05147660282628e-06
790.044,1.25801661646512e-06,4.05153210358395e-05,5.79611570247934e-06
790.23,1.14165424170664e-06,3.9373670476206e-05,4.9549238799478e-06
790.43,2.26933501171015e-06,4.53454939539987e-05,5.2544084384515e-06
790.63,4.1824050211039e-07,3.53046535874414e-05,4.34377908780639e-06
790.841,1.56346780882741e-06,4.10896794576589e-05,4.22724227925185e-06
791.041,1.44216165362658e-06,4.0761506080215e-05,4.63668986515877e-06
791.251,1.4364441087212e-06,4.1327066830827e-05,5.49764462809917e-06
791.451,1.51626532439897e-06,4.12966527126066e-05,4.81911700739452e-06
791.651,1.10940127015682e-06,3.8799410826076e-05,4.16998042627229e-06
791.873,2.65281890939816e-07,3.33937524157644e-05,2.51495014436325e-06
792.073,8.79654809203741e-07,3.49903215030852e-05,1.91354902288508e-07
792.273,1.05888448290904e-06,3.61973990737788e-05,6.01401121478169e-07
792.493,1.01817792617881e-06,3.56031001939503e-05,0
792.663,1.1448519139518e-06,3.65304243059538e-05,3.96378011883339e-07
792.777,9.57242508684342e-07,3.61397211586112e-05,1.23013865756898e-06
792.887,8.79700980017633e-07,3.59904282946099e-05,1.58551204753336e-06
793.127,8.11439716256824e-07,3.55959665193062e-05,1.4898345963891e-06
793.427,1.06072686484659e-06,3.65741071720668e-05,1.01144734066783e-06
793.567,1.2560121063805e-06,3.80990951993548e-05,1.77686694982186e-06
793.714,1.48651312824151e-06,4.16154122532444e-05,5.23616572422793e-06
793.874,1.5571338076737e-06,4.14807445785514e-05,4.47757285776425e-06
794.014,1.44579966635982e-06,4.14684323575129e-05,5.28988038277512e-06
794.214,1.41830541348392e-06,4.14058402302078e-05,5.381093953893e-06
794.444,1.35770833663604e-06,4.07369961306196e-05,4.81911700739452e-06
794.666,1.1562286376125e-06,3.77784661544171e-05,1.92721723019141e-06
794.856,9.99050506372876e-07,3.69240338722453e-05,1.83153977904715e-06
795.066,9.4719944919461e-07,3.73923635860087e-05,2.89765994894027e-06
795.276,1.0992982097089e-06,3.72970162938961e-05,1.57184384022703e-06
795.446,7.89715507820958e-07,3.58612905645381e-05,1.77686694982186e-06
795.691,9.85855853465921e-07,3.66567186289804e-05,1.43516176716381e-06
795.891,1.16908013275592e-06,3.71709747839084e-05,7.79087816460356e-07
796.061,1.18016628840746e-06,3.79226411218303e-05,1.79053515712819e-06
796.281,1.21527860012215e-06,3.8838765281311e-05,2.8566553270213e-06
796.431,9.82381215335747e-07,3.80516534181882e-05,3.44438824119315e-06
796.647,1.63198276643603e-06,4.27094836609528e-05,5.38210743801653e-06
796.837,1.80345621419339e-06,4.39483790760238e-05,5.88986298390605e-06
797.047,1.64641491162291e-06,4.27923765068737e-05,5.34410178338408e-06
797.257,1.678301146276e-06,4.28331624838384e-05,5.13481731187473e-06
797.417,1.35023973760652e-06,4.1790540709178e-05,6.06772944758591e-06
