depth [m],temp [K]
176.12,-30.075
176.24,-30.075
176.37,-30.075
176.49,-30.075
176.61,-30.075
176.72,-30.075
176.85,-30.075
176.97,-30.075
177.09,-30.075
177.23,-30.075
177.36,-30.075
177.48,-30.075
177.6,-30.075
177.72,-30.075
177.84,-30.075
177.96,-30.075
178.08,-30.075
178.2,-30.075
178.32,-30.075
178.44,-30.075
178.56,-30.075
178.68,-30.075
178.8,-30.075
178.92,-30.076
179.05,-30.076
179.17,-30.076
179.29,-30.076
179.41,-30.076
179.53,-30.076
179.65,-30.076
179.77,-30.076
179.89,-30.076
180.01,-30.076
180.13,-30.076
180.25,-30.076
180.37,-30.076
180.49,-30.076
180.62,-30.076
180.74,-30.076
180.88,-30.076
181,-30.076
181.12,-30.076
181.24,-30.076
181.36,-30.076
181.48,-30.076
181.61,-30.076
181.74,-30.076
181.86,-30.076
181.98,-30.076
182.1,-30.076
182.22,-30.076
182.34,-30.076
182.46,-30.076
182.58,-30.076
182.7,-30.076
182.82,-30.076
182.94,-30.076
183.06,-30.076
183.18,-30.076
183.31,-30.076
183.42,-30.076
183.55,-30.076
183.67,-30.076
183.79,-30.076
183.91,-30.076
184.03,-30.076
184.15,-30.076
184.27,-30.076
184.39,-30.076
184.54,-30.076
184.66,-30.076
184.78,-30.076
184.9,-30.076
185.02,-30.076
185.14,-30.076
185.26,-30.076
185.38,-30.076
185.5,-30.076
185.62,-30.076
185.74,-30.076
185.87,-30.076
185.98,-30.076
186.11,-30.076
186.23,-30.076
186.35,-30.076
186.47,-30.076
186.59,-30.076
186.71,-30.076
186.83,-30.076
186.95,-30.076
187.07,-30.076
187.19,-30.076
187.32,-30.076
187.44,-30.076
187.56,-30.076
187.68,-30.076
187.8,-30.076
187.92,-30.076
188.04,-30.076
188.18,-30.076
188.3,-30.076
188.42,-30.076
188.55,-30.076
188.66,-30.076
188.79,-30.076
188.91,-30.076
189.03,-30.076
189.15,-30.076
189.27,-30.076
189.39,-30.076
189.51,-30.076
189.63,-30.076
189.75,-30.076
189.87,-30.076
189.99,-30.076
190.11,-30.076
190.24,-30.076
190.36,-30.076
190.48,-30.076
190.6,-30.076
190.72,-30.076
190.84,-30.076
190.96,-30.076
191.08,-30.076
191.2,-30.076
191.32,-30.076
191.44,-30.076
191.57,-30.075
191.68,-30.075
191.83,-30.075
191.95,-30.075
192.07,-30.075
192.19,-30.075
192.31,-30.075
192.43,-30.075
192.55,-30.075
192.69,-30.075
192.8,-30.075
192.93,-30.075
193.05,-30.075
193.17,-30.075
193.29,-30.075
193.41,-30.075
193.53,-30.075
193.65,-30.075
193.77,-30.075
193.89,-30.075
194.01,-30.075
194.14,-30.075
194.25,-30.075
194.38,-30.075
194.5,-30.075
194.62,-30.075
194.73,-30.075
194.86,-30.075
194.98,-30.075
195.1,-30.075
195.24,-30.075
195.36,-30.075
195.49,-30.075
195.61,-30.075
195.73,-30.075
195.85,-30.075
195.97,-30.075
196.09,-30.075
196.21,-30.075
196.33,-30.075
196.45,-30.075
196.57,-30.075
196.69,-30.075
196.82,-30.075
196.94,-30.075
197.06,-30.075
197.18,-30.075
197.3,-30.075
197.42,-30.075
197.54,-30.075
197.66,-30.075
197.78,-30.075
197.9,-30.075
198.02,-30.075
198.14,-30.075
198.26,-30.075
198.38,-30.074
198.5,-30.074
198.63,-30.074
198.75,-30.074
198.87,-30.074
199.01,-30.074
199.13,-30.074
199.25,-30.074
199.38,-30.074
199.5,-30.074
199.62,-30.074
199.74,-30.074
199.86,-30.074
199.98,-30.074
200.1,-30.074
200.22,-30.074
200.34,-30.074
200.47,-30.074
200.58,-30.074
200.71,-30.074
200.83,-30.074
200.95,-30.074
201.07,-30.074
201.19,-30.074
201.31,-30.074
201.43,-30.074
201.55,-30.074
201.67,-30.074
201.79,-30.074
201.91,-30.074
202.03,-30.074
202.16,-30.074
202.28,-30.074
202.4,-30.074
202.55,-30.074
202.67,-30.074
202.79,-30.074
202.91,-30.074
203.03,-30.073
203.15,-30.073
203.27,-30.073
203.4,-30.073
203.52,-30.073
203.64,-30.073
203.76,-30.073
203.88,-30.073
204,-30.073
204.12,-30.073
204.24,-30.073
204.36,-30.073
204.48,-30.073
204.6,-30.073
204.72,-30.073
204.84,-30.073
204.97,-30.073
205.09,-30.073
205.21,-30.073
205.33,-30.073
205.45,-30.073
205.57,-30.073
205.69,-30.073
205.81,-30.073
205.93,-30.073
206.06,-30.073
206.2,-30.073
206.32,-30.073
206.44,-30.073
206.56,-30.073
206.68,-30.073
206.8,-30.072
206.93,-30.072
207.05,-30.072
207.17,-30.072
207.29,-30.072
207.41,-30.072
207.53,-30.072
207.65,-30.072
207.77,-30.072
207.89,-30.072
208.01,-30.072
208.13,-30.072
208.25,-30.072
208.37,-30.072
208.49,-30.072
208.62,-30.072
208.74,-30.072
208.86,-30.072
208.98,-30.072
209.1,-30.072
209.22,-30.072
209.34,-30.072
209.46,-30.072
209.58,-30.072
209.7,-30.072
209.85,-30.072
209.97,-30.072
210.09,-30.072
210.21,-30.071
210.34,-30.071
210.45,-30.071
210.57,-30.071
210.7,-30.071
210.83,-30.071
210.95,-30.071
211.07,-30.071
211.19,-30.071
211.31,-30.071
211.43,-30.071
211.55,-30.071
211.67,-30.071
211.79,-30.071
211.91,-30.071
212.03,-30.071
212.15,-30.071
212.27,-30.071
212.4,-30.071
212.52,-30.071
212.64,-30.071
212.76,-30.071
212.88,-30.071
213,-30.071
213.12,-30.071
213.24,-30.07
213.39,-30.07
213.51,-30.07
213.63,-30.07
213.75,-30.07
213.87,-30.07
213.99,-30.07
214.11,-30.07
214.23,-30.07
214.35,-30.07
214.47,-30.07
214.59,-30.07
214.71,-30.07
214.84,-30.07
214.96,-30.07
215.08,-30.07
215.2,-30.07
215.32,-30.07
215.44,-30.07
215.56,-30.07
215.68,-30.07
215.8,-30.07
215.92,-30.07
216.05,-30.069
216.16,-30.069
216.29,-30.069
216.41,-30.069
216.53,-30.069
216.65,-30.069
216.77,-30.069
216.89,-30.069
217.04,-30.069
217.16,-30.069
217.28,-30.069
217.4,-30.069
217.52,-30.069
217.64,-30.069
217.76,-30.069
217.88,-30.069
218,-30.069
218.12,-30.069
218.24,-30.069
218.36,-30.069
218.48,-30.069
218.6,-30.068
218.73,-30.068
218.85,-30.068
218.98,-30.068
219.1,-30.068
219.22,-30.068
219.34,-30.068
219.46,-30.068
219.58,-30.068
219.7,-30.068
219.82,-30.068
219.94,-30.068
220.06,-30.068
220.19,-30.068
220.3,-30.068
220.43,-30.068
220.57,-30.068
220.69,-30.068
220.81,-30.068
220.93,-30.067
221.05,-30.067
221.17,-30.067
221.29,-30.067
221.41,-30.067
221.53,-30.067
221.66,-30.067
221.78,-30.067
221.89,-30.067
222.02,-30.067
222.14,-30.067
222.26,-30.067
222.38,-30.067
222.5,-30.067
222.62,-30.067
222.74,-30.067
222.86,-30.067
222.98,-30.067
223.1,-30.067
223.22,-30.066
223.34,-30.066
223.47,-30.066
223.59,-30.066
223.71,-30.066
223.83,-30.066
223.95,-30.066
224.07,-30.066
224.19,-30.066
224.33,-30.066
224.45,-30.066
224.57,-30.066
224.69,-30.066
224.81,-30.066
224.94,-30.066
225.06,-30.066
225.18,-30.066
225.3,-30.065
225.42,-30.065
225.54,-30.065
225.66,-30.065
225.78,-30.065
225.9,-30.065
226.03,-30.065
226.15,-30.065
226.27,-30.065
226.4,-30.065
226.51,-30.065
226.63,-30.065
226.76,-30.065
226.88,-30.065
227,-30.065
227.12,-30.065
227.24,-30.065
227.36,-30.064
227.48,-30.064
227.6,-30.064
227.72,-30.064
227.86,-30.064
227.98,-30.064
228.1,-30.064
228.23,-30.064
228.35,-30.064
228.47,-30.064
228.58,-30.064
228.71,-30.064
228.83,-30.064
228.95,-30.064
229.07,-30.064
229.19,-30.064
229.31,-30.064
229.43,-30.063
229.55,-30.063
229.67,-30.063
229.79,-30.063
229.91,-30.063
230.04,-30.063
230.15,-30.063
230.27,-30.063
230.39,-30.063
230.52,-30.063
230.63,-30.063
230.75,-30.063
230.87,-30.063
231,-30.063
231.11,-30.063
231.26,-30.062
231.38,-30.062
231.5,-30.062
231.62,-30.062
231.74,-30.062
231.86,-30.062
231.99,-30.062
232.11,-30.062
232.23,-30.062
232.35,-30.062
232.47,-30.062
232.59,-30.062
232.71,-30.062
232.83,-30.062
232.96,-30.062
233.08,-30.062
233.2,-30.061
233.32,-30.061
233.44,-30.061
233.56,-30.061
233.69,-30.061
233.8,-30.061
233.92,-30.061
234.04,-30.061
234.17,-30.061
234.28,-30.061
234.4,-30.061
234.53,-30.061
234.65,-30.061
234.77,-30.061
234.91,-30.061
235.03,-30.06
235.15,-30.06
235.28,-30.06
235.4,-30.06
235.52,-30.06
235.64,-30.06
235.76,-30.06
235.88,-30.06
236,-30.06
236.12,-30.06
236.24,-30.06
236.36,-30.06
236.48,-30.06
236.6,-30.06
236.72,-30.059
236.84,-30.059
236.96,-30.059
237.08,-30.059
237.2,-30.059
237.32,-30.059
237.44,-30.059
237.56,-30.059
237.68,-30.059
237.8,-30.059
237.93,-30.059
238.05,-30.059
238.17,-30.059
238.29,-30.059
238.41,-30.059
238.53,-30.058
238.67,-30.058
238.8,-30.058
238.92,-30.058
239.04,-30.058
239.16,-30.058
239.28,-30.058
239.4,-30.058
239.53,-30.058
239.65,-30.058
239.77,-30.058
239.89,-30.058
240.01,-30.058
240.13,-30.058
240.25,-30.057
240.37,-30.057
240.49,-30.057
240.61,-30.057
240.73,-30.057
240.85,-30.057
240.97,-30.057
241.09,-30.057
241.22,-30.057
241.34,-30.057
241.45,-30.057
241.58,-30.057
241.7,-30.057
241.82,-30.057
241.94,-30.056
242.06,-30.056
242.2,-30.056
242.32,-30.056
242.45,-30.056
242.57,-30.056
242.69,-30.056
242.81,-30.056
242.93,-30.056
243.05,-30.056
243.17,-30.056
243.29,-30.056
243.41,-30.056
243.53,-30.056
243.65,-30.055
243.77,-30.055
243.89,-30.055
244.01,-30.055
244.13,-30.055
244.25,-30.055
244.37,-30.055
244.5,-30.055
244.61,-30.055
244.74,-30.055
244.86,-30.055
244.98,-30.055
245.1,-30.055
245.22,-30.054
245.34,-30.054
245.46,-30.054
245.58,-30.054
245.71,-30.054
245.85,-30.054
245.98,-30.054
246.1,-30.054
246.22,-30.054
246.34,-30.054
246.46,-30.054
246.58,-30.054
246.7,-30.054
246.82,-30.053
246.94,-30.053
247.06,-30.053
247.18,-30.053
247.3,-30.053
247.42,-30.053
247.54,-30.053
247.66,-30.053
247.78,-30.053
247.91,-30.053
248.03,-30.053
248.14,-30.053
248.27,-30.053
248.39,-30.052
248.51,-30.052
248.63,-30.052
248.75,-30.052
248.87,-30.052
248.99,-30.052
249.11,-30.052
249.23,-30.052
249.35,-30.052
249.5,-30.052
249.62,-30.052
249.74,-30.052
249.86,-30.052
249.98,-30.051
250.1,-30.051
250.22,-30.051
250.34,-30.051
250.46,-30.051
250.58,-30.051
250.7,-30.051
250.82,-30.051
250.94,-30.051
251.07,-30.051
251.19,-30.051
251.3,-30.051
251.43,-30.05
251.55,-30.05
251.68,-30.05
251.8,-30.05
251.92,-30.05
252.04,-30.05
252.16,-30.05
252.28,-30.05
252.4,-30.05
252.52,-30.05
252.64,-30.05
252.76,-30.05
252.88,-30.05
253,-30.049
253.15,-30.049
253.27,-30.049
253.39,-30.049
253.51,-30.049
253.63,-30.049
253.75,-30.049
253.87,-30.049
253.99,-30.049
254.11,-30.049
254.23,-30.049
254.35,-30.049
254.47,-30.048
254.59,-30.048
254.72,-30.048
254.84,-30.048
254.96,-30.048
255.08,-30.048
255.2,-30.048
255.32,-30.048
255.44,-30.048
255.56,-30.048
255.68,-30.048
255.8,-30.048
255.92,-30.047
256.04,-30.047
256.16,-30.047
256.28,-30.047
256.4,-30.047
256.52,-30.047
256.64,-30.047
256.79,-30.047
256.91,-30.047
257.03,-30.047
257.15,-30.047
257.27,-30.046
257.4,-30.046
257.52,-30.046
257.64,-30.046
257.76,-30.046
257.88,-30.046
258,-30.046
258.12,-30.046
258.24,-30.046
258.37,-30.046
258.48,-30.046
258.6,-30.046
258.72,-30.045
258.85,-30.045
258.97,-30.045
259.09,-30.045
