depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
704.9187,5.88020014202237e-07,6.08133296039255e-06,9.08236810127843e-07
704.944,7.87677491425881e-07,6.38661004396034e-06,3.80042108532922e-07
704.968,1.07964064696968e-06,7.00384272764463e-06,1.31484330866871e-07
704.9916,1.09116849209929e-06,7.07130370165205e-06,2.5380971354474e-07
705.0152,7.60067514716844e-07,6.29295528941291e-06,2.95342866061462e-07
705.0388,7.35532318685949e-07,6.48001881070626e-06,1.04893605818145e-06
705.0624,2.7193542994346e-07,5.17732336774839e-06,4.54285552622703e-07
705.086,2.33990765292718e-07,5.09696693088574e-06,4.86164419990009e-07
705.1096,4.48836775222458e-07,5.587099383354e-06,4.13445274721947e-07
705.1332,1.02101597817058e-06,6.98758327863262e-06,5.11595036997366e-07
705.1568,1.38399624181942e-06,7.78645616762288e-06,2.99189154349912e-07
705.1804,1.33295937485926e-06,7.66512533572615e-06,3.01439219014885e-07
705.204,9.2530517978149e-07,6.67782143094965e-06,2.63659629497032e-07
705.2276,1.06665195344477e-06,7.09478759249475e-06,5.05636753770551e-07
705.2512,3.34675745543704e-07,5.77652501455032e-06,1.83162576786269e-06
705.2748,0,4.51603183572757e-06,4.20843975938406e-07
705.2984,7.22044303771503e-07,6.97108902068029e-06,2.65376530284405e-06
705.322,0,4.96400547215649e-06,1.79458902487553e-06
705.3456,2.19052319845159e-07,5.08404197351401e-06,5.56092260881234e-07
705.3692,4.90025153105982e-07,5.64864157679606e-06,3.00080705727986e-07
705.3928,8.45738684241824e-07,6.43952784015892e-06,1.16479705492762e-07
705.4164,1.05068835850949e-06,6.9266498322195e-06,1.07111556329486e-07
705.44,1.14942678222631e-06,7.22724260942187e-06,3.04723770596868e-07
705.4636,8.67739245480041e-07,6.55079887337785e-06,2.96341795330988e-07
705.4872,7.34467290762746e-07,6.4635629488365e-06,1.00628415845043e-06
705.5108,6.37852550819758e-07,6.49490635631511e-06,1.81100361150053e-06
705.5344,3.33684933517849e-07,5.66043686645902e-06,1.48289960199392e-06
705.558,2.90080319255446e-07,5.31396706958375e-06,7.40233546352554e-07
705.5816,2.68312580891462e-07,5.08731299094733e-06,2.04833022779485e-07
705.6052,1.14243026941662e-06,7.72934118768962e-06,1.8957616475577e-06
705.6288,0,4.7569014096253e-06,1.1594887480267e-06
705.6524,7.41941828578409e-07,6.22964232051705e-06,2.34128270911882e-07
705.676,1.34382962459843e-06,7.64255283433839e-06,1.52493146552876e-07
705.6996,1.82551272352132e-06,8.97316940439636e-06,7.0011601565763e-07
705.7232,1.38088951281532e-06,7.99494948429977e-06,9.61335399976098e-07
705.7468,1.46712776253883e-06,8.28371949434559e-06,1.21437236436003e-06
705.7704,3.42045951882854e-07,5.87375423217572e-06,2.07573113654386e-06
705.794,7.33340871461167e-07,6.53971941971532e-06,1.24808524740914e-06
705.8176,8.34230010528138e-07,6.46353283067483e-06,2.74501014044231e-07
705.8412,1.23910126987821e-06,7.39937963020106e-06,1.74894412499849e-07
705.8648,1.14876087709366e-06,7.21293852392523e-06,2.65743165353e-07
705.8884,8.72961255316375e-07,6.65947020651542e-06,5.91290817552754e-07
705.912,9.31832834532877e-07,6.91885843576006e-06,9.54941992943137e-07
705.936,4.48592589182122e-07,5.56607367768497e-06,3.50759293815925e-07
705.9615,6.02756472780413e-07,6.07798128011002e-06,7.89876862871464e-07
705.9862,7.4401776378833e-07,6.48859307195904e-06,1.01299478806792e-06
706.0109,9.12554584524479e-07,6.89440141246977e-06,1.02133535630364e-06
706.0356,1.04022359325242e-06,6.99917103588444e-06,4.0625515416477e-07
706.0603,1.16270767832759e-06,7.22710231948485e-06,2.06887342276952e-07
706.085,1.14712071920267e-06,7.1775847170512e-06,1.6935746937069e-07
706.1097,8.50967959987169e-07,6.73738188336003e-06,9.91518530891757e-07
706.1344,1.13987401293161e-06,7.54785893919532e-06,1.35798098128513e-06
706.1591,3.23342756724624e-07,5.73164912144254e-06,1.77713010778088e-06
706.1838,7.28002569253829e-07,6.45221409680195e-06,1.01889632130272e-06
706.2085,7.33448926970343e-07,6.77305038712784e-06,1.96281979967496e-06
706.2332,4.99111482389883e-07,5.84365612557913e-06,8.31465611748848e-07
706.2579,6.4551848589259e-07,6.16577088558569e-06,7.45460438984543e-07
706.2826,1.53430423460223e-06,8.20456855636202e-06,4.78956905604885e-07
706.3073,1.49622325897938e-06,8.03464117720297e-06,2.37159448677871e-07
706.332,1.35553355570848e-06,7.68612648629863e-06,2.00274779610443e-07
706.3567,1.12285837448914e-06,7.21741608102441e-06,4.69450935424023e-07
706.3814,1.06096317341823e-06,7.37214121379739e-06,1.39788589785751e-06
706.4061,1.06499840881197e-06,7.02115708579706e-06,2.91970844361161e-07
706.4308,7.75220361406734e-07,6.44148367829352e-06,6.39680722058776e-07
706.4555,6.681395440872e-07,6.09350530943093e-06,3.57942712672315e-07
706.4802,8.20198691372924e-07,6.42825254954317e-06,2.69221417176545e-07
706.5049,1.23296779034023e-06,7.37737012428841e-06,1.52385442132818e-07
706.5296,1.25840742572388e-06,7.65090200332046e-06,8.04609453638744e-07
706.5543,5.45246085995923e-07,6.12089266531186e-06,1.34326691834866e-06
706.579,2.76857642042908e-07,5.3584703719302e-06,9.73685513226878e-07
706.6037,3.88803601636926e-07,5.45186942299137e-06,4.3905431846538e-07
706.6284,4.1481452437712e-07,5.5380776432716e-06,5.12646158877505e-07
706.6531,4.06556082658559e-07,5.58510941912067e-06,7.17442635459326e-07
706.6778,8.96043438412515e-07,6.65177512523357e-06,3.98401365740942e-07
706.7025,1.75239226392834e-06,8.62602294567055e-06,1.7185330600148e-07
706.7272,1.59088269070501e-06,8.6141305388715e-06,1.3199457346702e-06
706.7519,4.87268030591628e-07,6.1918639318113e-06,1.98613474975234e-06
706.7766,0,4.96105642833285e-06,1.78554555887133e-06
706.8013,1.92824583508167e-07,5.14573759377906e-06,9.3764891590939e-07
706.826,1.1891861844098e-07,4.84288027996428e-06,5.50963361172998e-07
706.8507,2.65012995383124e-07,5.14252933489608e-06,3.98358304418396e-07
706.8754,4.19144273392156e-07,5.54076395356506e-06,4.89128208028345e-07
706.9001,7.67956212352973e-07,6.28442222407877e-06,2.11317415998955e-07
706.9248,7.73190826381138e-07,6.66039319835585e-06,1.325868568095e-06
706.9495,5.57051058718555e-07,6.4378531758336e-06,2.22866896652938e-06
706.975,7.21410208295552e-07,6.38160119038235e-06,8.50706924959768e-07
707.0005,3.74810302063314e-07,5.46277200327365e-06,5.75119112805636e-07
707.0248,3.01761365530677e-07,5.26938192220749e-06,5.17837395808013e-07
707.0491,7.08882819430717e-07,6.13559092076018e-06,1.88177582911239e-07
707.0734,9.86758494792695e-07,6.78185535068971e-06,1.31969808473038e-07
707.0977,1.19678325295264e-06,7.27879009210498e-06,1.15470955436221e-07
707.122,1.56718033770846e-06,8.16674553460092e-06,1.21846192394552e-07
707.1463,1.52346001898504e-06,8.16717929637681e-06,4.43834757884679e-07
707.1706,6.22584890919475e-07,6.60283144005681e-06,2.25394180783788e-06
707.1949,0,5.44197867591957e-06,3.26033001675269e-06
707.2192,1.98081762423094e-07,5.14615721838654e-06,9.00377942856503e-07
707.2435,3.05954795454151e-07,5.23889444216286e-06,3.93589313595848e-07
